id,area_code,quarter,year
1,1001,1,2020
2,1003,1,2020
3,1005,1,2020
4,1007,1,2020
5,1009,1,2020
6,1011,1,2020
7,1013,1,2020
8,1015,1,2020
9,1017,1,2020
10,1019,1,2020
11,1021,1,2020
12,1023,1,2020
13,1025,1,2020
14,1027,1,2020
15,1029,1,2020
16,1031,1,2020
17,1033,1,2020
18,1035,1,2020
19,1037,1,2020
20,1039,1,2020
21,1041,1,2020
22,1043,1,2020
23,1045,1,2020
24,1047,1,2020
25,1049,1,2020
26,1051,1,2020
27,1053,1,2020
28,1055,1,2020
29,1057,1,2020
30,1059,1,2020
31,1061,1,2020
32,1063,1,2020
33,1065,1,2020
34,1067,1,2020
35,1069,1,2020
36,1071,1,2020
37,1073,1,2020
38,1075,1,2020
39,1077,1,2020
40,1079,1,2020
41,1081,1,2020
42,1083,1,2020
43,1085,1,2020
44,1087,1,2020
45,1089,1,2020
46,1091,1,2020
47,1093,1,2020
48,1095,1,2020
49,1097,1,2020
50,1099,1,2020
51,1101,1,2020
52,1103,1,2020
53,1105,1,2020
54,1107,1,2020
55,1109,1,2020
56,1111,1,2020
57,1113,1,2020
58,1115,1,2020
59,1117,1,2020
60,1119,1,2020
61,1121,1,2020
62,1123,1,2020
63,1125,1,2020
64,1127,1,2020
65,1129,1,2020
66,1131,1,2020
67,1133,1,2020
68,1999,1,2020
69,2013,1,2020
70,2016,1,2020
71,2020,1,2020
72,2050,1,2020
73,2060,1,2020
74,2063,1,2020
75,2066,1,2020
76,2068,1,2020
77,2070,1,2020
78,2090,1,2020
79,2100,1,2020
80,2105,1,2020
81,2110,1,2020
82,2122,1,2020
83,2130,1,2020
84,2150,1,2020
85,2158,1,2020
86,2164,1,2020
87,2170,1,2020
88,2180,1,2020
89,2185,1,2020
90,2188,1,2020
91,2195,1,2020
92,2198,1,2020
93,2220,1,2020
94,2230,1,2020
95,2240,1,2020
96,2275,1,2020
97,2282,1,2020
98,2290,1,2020
99,2999,1,2020
100,4001,1,2020
101,4003,1,2020
102,4005,1,2020
103,4007,1,2020
104,4009,1,2020
105,4011,1,2020
106,4012,1,2020
107,4013,1,2020
108,4015,1,2020
109,4017,1,2020
110,4019,1,2020
111,4021,1,2020
112,4023,1,2020
113,4025,1,2020
114,4027,1,2020
115,4999,1,2020
116,5001,1,2020
117,5003,1,2020
118,5005,1,2020
119,5007,1,2020
120,5009,1,2020
121,5011,1,2020
122,5013,1,2020
